"Statistic Label","Employment Status","Sex","Broad Industrial Group","CensusYear","UNIT","VALUE"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Industry not stated","2011","Number","90806"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Industry not stated","2016","Number","73204"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Total persons","2011","Number","254815"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Male","Total persons","2016","Number","153453"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Agriculture, forestry and fishing (A)","2011","Number","885"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Agriculture, forestry and fishing (A)","2016","Number","664"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Mining and quarrying (B)","2011","Number","83"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Mining and quarrying (B)","2016","Number","52"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Manufacturing (C)","2011","Number","9971"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Manufacturing (C)","2016","Number","5702"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Electricity, gas, steam and air conditioning supply (D)","2011","Number","133"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Electricity, gas, steam and air conditioning supply (D)","2016","Number","115"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","181"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","129"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Construction (F)","2011","Number","2069"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Construction (F)","2016","Number","741"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","17968"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","12627"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Transportation and storage (H)","2011","Number","1555"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Transportation and storage (H)","2016","Number","967"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Accommodation and food service activities (I)","2011","Number","9865"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Accommodation and food service activities (I)","2016","Number","6826"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Information and communication (J)","2011","Number","2464"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Information and communication (J)","2016","Number","1763"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Financial and insurance activities (K)","2011","Number","3043"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Financial and insurance activities (K)","2016","Number","2400"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Real estate activities (L)","2011","Number","525"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Real estate activities (L)","2016","Number","238"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Professional, scientific and technical activities (M)","2011","Number","4750"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Professional, scientific and technical activities (M)","2016","Number","2692"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Administrative and support service activities (N)","2011","Number","4315"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Administrative and support service activities (N)","2016","Number","2997"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Public administration and defence; compulsory social security (O)","2011","Number","1787"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Public administration and defence; compulsory social security (O)","2016","Number","1260"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Education (P)","2011","Number","6168"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Education (P)","2016","Number","5165"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Human health and social work activities (Q)","2011","Number","7124"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Human health and social work activities (Q)","2016","Number","5823"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Arts, entertainment and recreation (R)","2011","Number","1871"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Arts, entertainment and recreation (R)","2016","Number","1227"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Other service activities (S)","2011","Number","4243"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Other service activities (S)","2016","Number","2991"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Activities of households as employers producing activities of households for own use (T)","2011","Number","198"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Activities of households as employers producing activities of households for own use (T)","2016","Number","212"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Activities of extraterritorial organisations and bodies (U)","2011","Number","23"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Activities of extraterritorial organisations and bodies (U)","2016","Number","26"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Industry not stated","2011","Number","56641"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Industry not stated","2016","Number","57892"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Total persons","2011","Number","135862"
"Population Aged 15 Years and Over","Unemployed having lost or given up previous job","Female","Total persons","2016","Number","112509"
